"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Speak only English at home!!Estimate","Puerto Rico!!Percent speak only English at home!!Estimate","Puerto Rico!!Speak a language other than English at home!!Total!!Estimate","Puerto Rico!!Speak a language other than English at home!!Percent!!Estimate","Puerto Rico!!Speak a language other than English at home!!Speak Spanish at home!!Estimate","Puerto Rico!!Speak a language other than English at home!!Percent speak Spanish at home!!Estimate"
"Total population 5 years and over","3,122,357","146,147","(X)","2,976,210","(X)","2,970,588","(X)"
"    AGE","","","","","","",""
"        5 to 17 years","418,904","11,673","8.0%","407,231","13.7%","406,664","13.7%"
"        18 to 64 years","1,946,607","78,124","53.5%","1,868,483","62.8%","1,864,783","62.8%"
"        65 years and over","756,846","56,350","38.6%","700,496","23.5%","699,141","23.5%"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","",""
"        Native","3,038,180","140,898","96.4%","2,897,282","97.3%","2,894,031","97.4%"
"        Foreign born","84,177","5,249","3.6%","78,928","2.7%","76,557","2.6%"
"            Naturalized U.S. citizen","44,517","3,238","2.2%","41,279","1.4%","39,861","1.3%"
"            Not a U.S. citizen","39,660","2,011","1.4%","37,649","1.3%","36,696","1.2%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","",""
"    Population 5 years and over for whom poverty status is determined","3,095,996","145,558","(X)","2,950,438","(X)","2,944,816","(X)"
"        Below poverty level","1,271,332","54,883","37.7%","1,216,449","41.2%","1,215,422","41.3%"
"        At or above poverty level","1,824,664","90,675","62.3%","1,733,989","58.8%","1,729,394","58.7%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","2,404,438","124,615","(X)","2,279,823","(X)","2,275,262","(X)"
"        Less than high school graduate","440,567","25,503","20.5%","415,064","18.2%","414,679","18.2%"
"        High school graduate (includes equivalency)","671,662","34,154","27.4%","637,508","28.0%","636,768","28.0%"
"        Some college or associate's degree","574,490","25,920","20.8%","548,570","24.1%","547,690","24.1%"
"        Bachelor's degree or higher","717,719","39,038","31.3%","678,681","29.8%","676,125","29.7%"