"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Management, business, science, and arts occupations!!Estimate","Puerto Rico!!Service occupations!!Estimate","Puerto Rico!!Sales and office occupations!!Estimate","Puerto Rico!!Natural resources, construction, and maintenance occupations!!Estimate","Puerto Rico!!Production, transportation, and material moving occupations!!Estimate"
"Civilian employed population 16 years and over","1,085,614","29.9%","20.9%","26.7%","10.0%","12.6%"
"    Agriculture, forestry, fishing and hunting, and mining","15,611","40.9%","0.9%","2.0%","55.9%","0.3%"
"    Construction","70,661","13.6%","0.3%","3.7%","79.1%","3.2%"
"    Manufacturing","102,485","20.3%","3.3%","12.1%","4.5%","59.9%"
"    Wholesale trade","33,407","14.1%","0.4%","63.0%","2.7%","19.8%"
"    Retail trade","150,743","8.9%","4.5%","66.1%","2.8%","17.8%"
"    Transportation and warehousing, and utilities","37,334","7.6%","5.1%","24.1%","7.4%","55.9%"
"    Information","17,162","39.6%","3.4%","31.0%","24.0%","2.1%"
"    Finance and insurance, and real estate and rental and leasing","57,530","38.2%","3.1%","55.8%","2.4%","0.5%"
"    Professional, scientific, and management, and administrative and waste management services","119,548","35.5%","40.8%","16.7%","3.8%","3.3%"
"    Educational services, and health care and social assistance","229,167","64.5%","17.2%","15.8%","1.1%","1.4%"
"    Arts, entertainment, and recreation, and accommodation and food services","96,766","14.2%","64.0%","19.4%","0.6%","1.9%"
"    Other services, except public administration","68,059","10.5%","47.3%","6.6%","24.0%","11.6%"
"    Public administration","87,141","30.5%","34.3%","32.3%","1.8%","1.2%"
"PERCENT ALLOCATED","","","","","",""
"    Industry","6.6%","(X)","(X)","(X)","(X)","(X)"