"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Puerto Rico!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Puerto Rico!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Puerto Rico!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate"
"Population 5 years and over","3,122,357","(X)","778,051","24.9%","2,344,306","75.1%"
"    Speak only English","146,147","4.7%","(X)","(X)","(X)","(X)"
"    Speak a language other than English","2,976,210","95.3%","631,904","21.2%","2,344,306","78.8%"
"    SPEAK A LANGUAGE OTHER THAN ENGLISH","","","","","",""
"        Spanish","2,970,588","95.1%","629,048","21.2%","2,341,540","78.8%"
"            5 to 17 years old","406,664","13.0%","101,279","24.9%","305,385","75.1%"
"            18 to 64 years old","1,864,783","59.7%","438,815","23.5%","1,425,968","76.5%"
"            65 years old and over","699,141","22.4%","88,954","12.7%","610,187","87.3%"
"        Other Indo-European languages","3,812","0.1%","2,019","53.0%","1,793","47.0%"
"            5 to 17 years old","306","0.0%","306","100.0%","0","0.0%"
"            18 to 64 years old","2,482","0.1%","1,356","54.6%","1,126","45.4%"
"            65 years old and over","1,024","0.0%","357","34.9%","667","65.1%"
"        Asian and Pacific Island languages","1,132","0.0%","368","32.5%","764","67.5%"
"            5 to 17 years old","0","0.0%","0","-","0","-"
"            18 to 64 years old","878","0.0%","284","32.3%","594","67.7%"
"            65 years old and over","254","0.0%","84","33.1%","170","66.9%"
"        Other languages","678","0.0%","469","69.2%","209","30.8%"
"            5 to 17 years old","261","0.0%","261","100.0%","0","0.0%"
"            18 to 64 years old","340","0.0%","131","38.5%","209","61.5%"
"            65 years old and over","77","0.0%","77","100.0%","0","0.0%"
"CITIZENS 18 YEARS AND OVER","","","","","",""
"    All citizens 18 years old and over","2,666,630","(X)","657,866","24.7%","2,008,764","75.3%"
"        Speak only English","132,641","5.0%","(X)","(X)","(X)","(X)"
"        Speak a language other than English","2,533,989","95.0%","525,225","20.7%","2,008,764","79.3%"
"            Spanish","2,529,887","94.9%","523,304","20.7%","2,006,583","79.3%"
"            Other languages","4,102","0.2%","1,921","46.8%","2,181","53.2%"